Card Kept,Final Card,Name Length,Put Position 1,Place Choice,Put Position 2,Gender Choice,Remarks
c1,b1,7,3,北方,1,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a2,d1,9,2,南方,3,mm,汗流浃背了吧小泥！
d2,c2,4,1,北方,2,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a2,d1,1,3,北方,3,mm,汗流浃背了吧小泥！
c2,b2,3,2,北方,4,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,10,1,北方,2,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c1,b1,7,3,北方,3,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d1,c1,8,1,北方,3,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d1,c1,8,1,南方,3,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d2,c2,4,1,北方,3,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a2,d1,9,2,南方,4,gg,汗流浃背了吧小泥！
a1,d2,5,2,北方,3,武装直升机,汗流浃背了吧小泥！
b1,a1,6,3,北方,3,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a2,d1,1,2,南方,1,mm,汗流浃背了吧小泥！
d2,c2,4,2,北方,3,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d2,c2,4,3,北方,3,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a2,d1,9,3,不知道在南方还是北方的留子,3,gg,汗流浃背了吧小泥！
a1,d2,5,4,北方,4,gg,汗流浃背了吧小泥！
c2,b2,3,4,北方,3,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,2,2,南方,3,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d1,c1,8,4,不知道在南方还是北方的留子,1,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c2,b2,3,2,北方,1,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a2,d1,9,3,不知道在南方还是北方的留子,3,gg,汗流浃背了吧小泥！
c2,b2,3,4,北方,1,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a1,d2,5,2,南方,5,武装直升机,汗流浃背了吧小泥！
a1,d2,5,2,南方,3,gg,汗流浃背了吧小泥！
b1,a1,6,2,南方,3,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a1,d2,5,2,北方,1,武装直升机,汗流浃背了吧小泥！
b1,a1,6,2,不知道在南方还是北方的留子,2,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,10,2,不知道在南方还是北方的留子,3,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a2,d1,1,4,南方,5,mm,汗流浃背了吧小泥！
a1,d2,5,1,南方,1,gg,汗流浃背了吧小泥！
b1,a1,6,4,北方,1,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d1,c1,8,4,北方,1,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a1,d2,5,1,不知道在南方还是北方的留子,2,mm,汗流浃背了吧小泥！
d2,c2,4,4,不知道在南方还是北方的留子,3,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,10,3,北方,2,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a1,d2,5,2,北方,1,武装直升机,汗流浃背了吧小泥！
c2,b2,3,1,北方,2,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c1,b1,7,3,南方,2,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c1,b1,7,1,北方,3,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a2,d1,1,4,不知道在南方还是北方的留子,1,gg,汗流浃背了吧小泥！
c2,b2,3,3,南方,2,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a2,d1,1,1,不知道在南方还是北方的留子,1,gg,汗流浃背了吧小泥！
b2,a2,2,1,南方,3,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a1,d2,5,3,南方,4,mm,汗流浃背了吧小泥！
b2,a2,10,4,南方,3,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,10,1,北方,2,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c2,b2,3,2,南方,3,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c1,b1,7,1,北方,2,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b1,a1,6,4,北方,1,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d1,c1,8,1,北方,2,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c1,b1,7,2,不知道在南方还是北方的留子,2,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,2,3,不知道在南方还是北方的留子,1,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,2,2,北方,4,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a2,d1,1,2,南方,1,武装直升机,汗流浃背了吧小泥！
a1,d2,5,2,南方,1,mm,汗流浃背了吧小泥！
b2,a2,2,4,不知道在南方还是北方的留子,2,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d2,c2,4,2,南方,1,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c1,b1,7,2,不知道在南方还是北方的留子,1,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c1,b1,7,3,北方,3,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d2,c2,4,2,北方,3,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d2,c2,4,2,南方,1,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c1,b1,7,1,北方,1,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,10,1,不知道在南方还是北方的留子,3,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c2,b2,3,1,北方,4,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c1,b1,7,1,北方,2,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d2,c2,4,2,北方,3,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d2,c2,4,1,不知道在南方还是北方的留子,2,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c1,b1,7,3,北方,1,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d2,c2,4,4,南方,2,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b1,a1,6,3,北方,2,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,10,4,不知道在南方还是北方的留子,2,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,2,1,南方,1,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,10,2,南方,4,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a1,d2,5,2,北方,4,武装直升机,汗流浃背了吧小泥！
b1,a1,6,4,不知道在南方还是北方的留子,2,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a1,d2,5,2,北方,2,mm,汗流浃背了吧小泥！
c2,b2,3,1,南方,1,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,10,3,北方,2,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,10,3,北方,3,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,10,1,不知道在南方还是北方的留子,2,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d2,c2,4,2,北方,3,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b1,a1,6,3,不知道在南方还是北方的留子,2,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
b2,a2,2,2,南方,3,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a1,d2,5,3,不知道在南方还是北方的留子,1,gg,汗流浃背了吧小泥！
a2,d1,1,3,北方,3,gg,汗流浃背了吧小泥！
a2,d1,9,4,北方,4,武装直升机,汗流浃背了吧小泥！
d1,c1,8,3,北方,1,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d1,c1,8,4,不知道在南方还是北方的留子,3,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a2,d1,9,4,南方,3,武装直升机,汗流浃背了吧小泥！
a2,d1,9,1,南方,3,武装直升机,汗流浃背了吧小泥！
a2,d1,9,4,不知道在南方还是北方的留子,3,武装直升机,汗流浃背了吧小泥！
b2,a2,10,4,南方,4,gg,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c2,b2,3,2,南方,2,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
a2,d1,9,2,北方,1,武装直升机,汗流浃背了吧小泥！
c2,b2,3,4,不知道在南方还是北方的留子,3,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d1,c1,8,4,南方,3,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
d2,c2,4,1,南方,4,武装直升机,汗流浃背了吧小泥！wc背面也对不上！！！gg～
c2,b2,3,3,北方,3,mm,汗流浃背了吧小泥！wc背面也对不上！！！gg～
